BANPU,B,SET50
IVL,B,SET50
MCS,B,SET
SINGER,B,SET100
STA,B,SET100
SYNEX,B,SET
TMT,B,SET
AH,I,SET
BCH,I,SET100
CPNREIT,I,SET
GVREIT,I,SET
JMART,I,SET50
SENA,I,SET
AWC,O,SET50
BBL,O,SET50
BDMS,O,SET50
BEM,O,SET50
BH,O,SET50
EA,O,SET50
FPT,O,SET
ICHI,O,SET
JMT,O,SET50
KKP,O,SET100
KTB,O,SET50
KTC,O,SET50
LANNA,O,SET
LHFG,O,SET
OISHI,O,SET
ORI,O,SET100
PTG,O,SET100
PTTEP,O,SET50
TASCO,O,SET
TTB,O,SET50
JASIF,S,SET
NER,S,SET
PTTGC,S,SET50
TFFIF,S,SET
ASK,T,SET
ASP,T,SET
RCL,T,SET100
WHAIR,T,SET
WHART,T,SET
DIF,U,SET
KCE,U,SET100
SCC,U,SET50
AIT,X,SET
AMATA,X,SET100
AP,X,SET100
ASW,X,SET
BCP,X,SET100
BJC,X,SET
BPP,X,SET
CK,X,SET100
CKP,X,SET100
COM7,X,SET50
CPALL,X,SET50
CPF,X,SET50
CPN,X,SET50
GULF,X,SET50
HANA,X,SET100
HMPRO,X,SET50
III,X,SET
ILM,X,SET
LH,X,SET50
MEGA,X,SET100
PSH,X,SET
PTT,X,SET50
QH,X,SET100
SAPPE,X,SET
SAT,X,SET
SC,X,SET
SIRI,X,SET
SNC,X,SET
SPALI,X,SET100
SVI,X,SET
TCAP,X,SET100
TFG,X,SET
TOP,X,SET50
WHA,X,SET100
WICE,X,SET
