trade,name,qty,price,active,reason,market,xdate
B,CKP,20000,4.5,0,3L,SET100,2022-12-22
B,CPF,4000,23.0,0,XXX,SET50,2022-12-22
B,CPNREIT,10000,18.9,2,RD05pct,SET,2023-03-01
B,GFPT,3600,12.5,0,DTD,SET,2023-03-07
B,GVREIT,10000,8.9,1,C8.90,SET,2023-02-23
B,IVL,2400,37.0,0,5%,SET50,2023-05-06
B,JMART,3000,40.0,0,DTD,SET50,2023-04-19
B,LPF,10000,12.5,1,DOS,SET,2023-01-28
B,PTT,3600,31.0,1,XXX,SET50,2023-03-03
B,SINGER,3600,27.5,1,DTD,SET100,2023-04-29
B,TFFIF,10000,7.4,1,DOS,SET,2023-03-03
B,TFG,20000,5.0,1,XXX,SET,2022-12-22
B,WHAIR,10000,7.2,1,RD15pct,SET,2023-03-04
S,ASP,10000,3.1,1,5pct,SET,2023-03-10
S,BANPU,12000,13.0,1,DTD,SET50,2023-04-08
S,BCH,3000,22.5,1,5pct,SET100,2023-05-10
S,MAKRO,2500,44.0,2,5pct,SET,2023-03-03
S,SCC,300,360.0,1,CUT,SET50,2022-02-02
S,SYNEX,3000,17.5,1,5pct,SET,2023-03-10
S,TMT,12000,8.0,1,C9.0,SET,2023-04-18
